Location,year,month,avg_power,avg_wind_speed_100m,avg_wind_speed_10m,avg_temperature_2m,reading_count
3,2014,2,0.3648317490952381,7.342576203245536,4.396907026148809,17.662487126113096,672
3,2014,3,0.39047720320430107,7.653659632723118,4.992324652883064,34.2184443060215,744
3,2014,4,0.33123546933333337,7.666341084400001,4.893541946798611,37.97793355333333,720
3,2014,5,0.2677246494408602,5.933135438646505,3.886195620612903,66.1429066716129,744
3,2014,6,0.32739852488888893,6.521688306409723,4.229278057888889,73.55946133111112,720
3,2014,7,0.22128997202150538,5.600366621422043,3.6332789539462365,72.81212710172044,744
3,2014,8,0.22601671955376343,6.076495653813172,3.7754698141666663,71.53470774688172,744
3,2014,9,0.3122410248888889,6.951882750658333,4.398333613447222,65.13585022000001,720
3,2014,10,0.3449855365376344,6.966925761630376,4.465510136755377,47.73927763935484,744
3,2014,11,0.38520588599999994,6.926979972997222,4.432194724555556,30.16737799778889,720
3,2014,12,0.3746817730967742,7.218525223971774,4.3118676636263435,26.39438516641398,744
3,2015,1,0.3546793537419355,7.34461393375,4.842566588376344,19.04129376939785,744
3,2015,2,0.2879863621904762,7.6158797748482145,5.168707621425595,13.97543355504762,672
3,2015,3,0.3604199451397849,8.35283974057258,5.568534330345431,29.807960435655914,744
3,2015,4,0.3957854693333333,7.9205910843666665,5.094041946804167,48.66362799777778,720
3,2015,5,0.3064778753951613,6.9983639335846775,4.625644545366935,57.06629376838709,744
3,2015,6,0.25622435824166667,6.0762577504958335,3.887903057888889,69.35265577555556,720
3,2015,7,0.2347548913763441,6.011146191334677,3.8337359431948923,74.83336366086021,744
3,2015,8,0.21091766028494627,5.570420384790322,3.534838093731183,70.27583677913978,744
3,2015,9,0.34989658044444444,7.274702195269445,4.649250280111111,70.26723910888889,720
3,2015,10,0.44697962255913976,8.270272536182796,5.340617663673387,46.28632065010753,744
3,2015,11,0.4674660248888889,7.540466084179166,4.675666946784722,32.85057244229444,720
3,2015,12,0.4491696763225807,6.961078987364248,4.260846158247311,28.567503445919357,744
3,2016,1,0.4066297569677419,7.097046729416667,4.530940244290322,22.39559484427957,744
3,2016,2,0.4532167193333333,7.462799417702586,4.684785720724138,25.147416312379306,696
3,2016,3,0.44491107420430104,7.480716084348118,4.799596158272849,40.36037978989248,744
3,2016,4,0.05770436076111111,7.177827195448611,4.691416946809722,46.98501688666666,720
3,2016,5,0.12378042951612903,6.38335049259543,4.2472708894314515,58.56360559634408,744
3,2016,6,0.2090893587,7.522396640068055,5.032333613452778,74.19557244222223,720
3,2016,7,0.20280663921505374,5.741791352568548,3.7665988464193547,77.15218086516128,744
3,2016,8,0.2829749186290323,6.472759094495967,4.175523577603495,74.09169699419354,744
3,2016,9,0.23589685879722222,7.494563306451389,4.799333613447222,63.61265577555555,720
3,2016,10,0.17540247288978494,7.604587052122312,4.897768201267473,46.80473462860215,744
3,2016,11,0.15611144275277777,8.13793830670139,4.963861391238889,41.873211331111115,720
3,2016,12,0.17352639734946235,6.901549417491936,4.233373039985215,27.55137441373656,744
4,2013,1,0.24857116385555555,6.782035528373611,4.148514169008333,21.28960022092222,720
4,2013,2,0.32873293971428574,7.848513703263393,4.803618335674107,30.665909744166665,672
